race,age,sexe,sterilise,poids,region,freq_soins,cout_moyen
Rottweiler,2.1,M,1,50.3,Autres,1,339.43
Croisé,10.5,F,1,22.4,Hauts-de-France,2,661.77
Berger Allemand,3.9,F,0,33.8,Île-de-France,1,486.65
Croisé,1.7,M,0,22.5,Occitanie,1,56.56
Husky,11.2,F,0,26.2,Île-de-France,3,221.55
Berger Allemand,14.5,F,1,34.8,Hauts-de-France,0,500.46
Berger Allemand,4.2,M,1,40.2,Auvergne-Rhône-Alpes,0,232.16
Caniche,9.0,F,1,8.5,Occitanie,3,54.78
Husky,6.1,F,1,31.3,Nouvelle-Aquitaine,0,249.47
Rottweiler,5.0,F,1,33.8,Hauts-de-France,0,1057.33
Husky,14.0,F,1,20.7,Hauts-de-France,0,756.26
Chihuahua,6.0,F,0,2.8,Autres,2,152.91
Labrador,8.6,M,1,38.6,Auvergne-Rhône-Alpes,2,144.44
Bouledogue français,5.7,F,0,13.0,Auvergne-Rhône-Alpes,2,243.87
Teckel,6.4,F,1,9.4,Hauts-de-France,2,369.13
Teckel,1.8,F,0,5.9,Autres,2,462.63
Husky,13.9,F,1,29.0,Nouvelle-Aquitaine,3,116.67
Rottweiler,7.2,F,0,49.5,Autres,2,1111.8
Bouledogue français,9.2,M,0,11.6,Hauts-de-France,2,747.95
Bouledogue français,2.4,F,1,16.3,Île-de-France,0,928.33
Teckel,13.9,M,0,7.8,Nouvelle-Aquitaine,3,166.07
Yorkshire,8.2,F,1,2.6,Autres,1,279.89
Croisé,2.1,F,0,21.4,Occitanie,0,139.15
Rottweiler,12.7,F,0,35.4,Nouvelle-Aquitaine,1,38.53
Bouledogue français,1.8,M,1,11.3,Île-de-France,1,377.98
Teckel,5.7,M,0,7.7,Île-de-France,0,113.07
Beagle,13.5,M,0,13.9,Hauts-de-France,1,367.52
Caniche,14.6,F,0,9.9,Occitanie,5,375.31
Chihuahua,9.4,F,0,2.6,Autres,1,87.92
Husky,8.5,F,1,28.2,Hauts-de-France,1,389.39
Labrador,5.6,M,1,25.4,Nouvelle-Aquitaine,1,321.58
Labrador,13.9,F,1,30.4,Hauts-de-France,1,289.07
Berger Allemand,3.9,F,1,32.7,Nouvelle-Aquitaine,0,1000.41
Beagle,6.0,M,1,16.9,Île-de-France,2,228.03
Beagle,3.8,M,0,16.9,Autres,1,97.81
Chihuahua,8.2,M,1,3.2,Hauts-de-France,1,311.26
Caniche,10.9,M,1,8.7,Île-de-France,0,19.85
Golden Retriever,6.3,M,1,35.2,Hauts-de-France,0,717.68
Labrador,8.7,F,0,34.4,Hauts-de-France,3,85.53
Husky,9.0,F,0,25.5,Île-de-France,0,1419.07
Beagle,9.9,M,1,16.3,Auvergne-Rhône-Alpes,0,239.18
Golden Retriever,2.3,M,0,29.7,Autres,2,263.25
Berger Allemand,9.3,M,0,32.8,Île-de-France,5,759.6
Berger Allemand,13.8,M,1,27.0,Occitanie,1,160.4
Chihuahua,8.6,F,0,3.2,Hauts-de-France,1,80.95
Beagle,13.5,F,1,11.4,Île-de-France,0,1367.94
Labrador,7.1,F,1,25.0,Île-de-France,2,559.86
Husky,4.4,F,1,26.9,Île-de-France,0,517.83
Chihuahua,8.5,M,0,2.7,Occitanie,2,327.57
Beagle,1.9,F,1,15.4,Autres,2,115.96
Yorkshire,9.7,M,0,3.4,Occitanie,1,435.41
Berger Allemand,5.5,F,1,40.0,Occitanie,1,121.05
Bouledogue français,13.0,M,1,15.2,Autres,1,323.3
Chihuahua,7.5,M,0,3.0,Auvergne-Rhône-Alpes,2,53.36
Teckel,12.4,F,0,8.1,Nouvelle-Aquitaine,1,199.36
Berger Allemand,0.7,M,0,21.5,Autres,1,224.95
Chihuahua,6.6,F,1,4.0,Autres,0,184.88
Golden Retriever,11.7,M,0,28.5,Occitanie,2,178.45
Caniche,2.5,F,0,13.9,Nouvelle-Aquitaine,1,241.99
Teckel,5.3,F,1,8.3,Île-de-France,0,196.33
Husky,7.2,M,1,35.4,Hauts-de-France,0,375.07
Chihuahua,2.5,F,1,2.7,Île-de-France,0,317.91
Berger Allemand,11.5,M,1,35.6,Autres,4,341.52
Chihuahua,3.1,M,1,3.1,Autres,0,58.99
Teckel,14.2,F,1,8.7,Nouvelle-Aquitaine,3,55.89
Bouledogue français,13.3,M,0,12.9,Nouvelle-Aquitaine,5,508.9
Labrador,13.1,F,0,29.1,Hauts-de-France,5,275.39
Beagle,4.4,M,1,9.4,Île-de-France,0,643.18
Beagle,4.7,F,1,15.4,Hauts-de-France,0,27.97
Croisé,14.4,M,1,16.4,Occitanie,7,647.95
Labrador,7.9,F,0,28.5,Île-de-France,1,285.82
Yorkshire,13.3,M,1,4.7,Île-de-France,1,389.1
Labrador,3.8,F,1,34.7,Île-de-France,1,257.02
Rottweiler,12.9,F,1,42.4,Île-de-France,1,106.7
Berger Allemand,1.2,F,0,28.4,Nouvelle-Aquitaine,0,571.29
Beagle,10.3,M,1,15.1,Île-de-France,8,846.64
Teckel,14.4,M,0,8.8,Auvergne-Rhône-Alpes,1,131.61
Croisé,0.6,F,0,21.5,Occitanie,2,424.86
Caniche,4.6,M,1,13.2,Auvergne-Rhône-Alpes,0,335.35
Golden Retriever,3.0,F,0,32.9,Occitanie,0,598.09
Caniche,9.5,M,1,11.5,Autres,3,635.09
Husky,2.8,F,1,27.7,Île-de-France,0,396.38
Teckel,3.7,F,1,9.4,Nouvelle-Aquitaine,1,272.06
Teckel,14.5,M,0,7.9,Occitanie,1,419.19
Chihuahua,9.9,F,1,3.4,Nouvelle-Aquitaine,2,215.79
Bouledogue français,11.5,M,1,12.8,Nouvelle-Aquitaine,0,293.71
Rottweiler,0.5,M,0,49.8,Nouvelle-Aquitaine,1,280.3
Berger Allemand,4.4,F,1,32.6,Hauts-de-France,0,1193.24
Caniche,4.7,M,1,9.4,Nouvelle-Aquitaine,1,72.22
Rottweiler,8.8,M,1,44.7,Autres,1,542.66
Chihuahua,12.5,F,0,2.6,Auvergne-Rhône-Alpes,4,228.33
Teckel,1.0,F,1,8.2,Île-de-France,4,219.05
Husky,7.5,M,1,32.0,Auvergne-Rhône-Alpes,3,1960.2
Golden Retriever,11.3,M,1,30.0,Occitanie,1,124.05
Teckel,9.9,F,1,9.4,Hauts-de-France,0,490.55
Beagle,6.7,F,1,14.8,Autres,1,234.86
Berger Allemand,6.2,F,1,40.5,Auvergne-Rhône-Alpes,3,128.1
Berger Allemand,11.1,M,1,26.9,Nouvelle-Aquitaine,2,373.52
Croisé,6.4,F,1,23.5,Île-de-France,1,95.05
Labrador,10.0,M,1,34.8,Nouvelle-Aquitaine,0,437.16
Labrador,6.9,F,1,32.1,Auvergne-Rhône-Alpes,1,111.01
Caniche,2.9,M,1,12.2,Hauts-de-France,1,228.56
Caniche,3.5,M,0,10.1,Autres,1,93.0
Caniche,3.1,M,0,12.6,Île-de-France,1,412.22
Bouledogue français,5.2,M,1,15.8,Occitanie,0,202.05
Golden Retriever,10.7,F,1,34.9,Auvergne-Rhône-Alpes,1,245.89
Bouledogue français,10.1,M,1,12.3,Auvergne-Rhône-Alpes,1,309.12
Golden Retriever,10.3,M,1,39.8,Autres,0,165.84
Bouledogue français,9.3,M,1,11.5,Île-de-France,0,196.08
Caniche,5.2,F,1,11.1,Auvergne-Rhône-Alpes,1,315.41
Caniche,9.9,M,0,11.8,Nouvelle-Aquitaine,3,861.39
Caniche,1.6,M,0,9.0,Autres,2,632.13
Berger Allemand,12.3,M,0,26.4,Auvergne-Rhône-Alpes,2,470.15
Croisé,14.4,M,1,19.2,Occitanie,1,435.96
Caniche,3.3,F,1,8.5,Hauts-de-France,2,63.05
Bouledogue français,6.3,M,1,10.1,Île-de-France,2,228.3
Chihuahua,8.7,F,1,3.6,Nouvelle-Aquitaine,1,159.85
Teckel,0.5,F,1,9.6,Autres,1,223.58
Husky,13.6,F,1,25.0,Occitanie,3,711.15
Chihuahua,6.6,M,0,3.0,Occitanie,1,277.75
Labrador,9.3,F,1,36.6,Île-de-France,2,104.71
Labrador,6.9,M,1,31.8,Île-de-France,0,912.8
Golden Retriever,1.7,M,1,26.7,Île-de-France,1,196.69
Bouledogue français,10.2,F,0,13.1,Hauts-de-France,2,57.38
Bouledogue français,14.9,F,0,11.5,Occitanie,0,764.51
Golden Retriever,14.4,M,1,30.4,Île-de-France,2,170.21
Beagle,12.0,F,0,16.9,Nouvelle-Aquitaine,2,498.96
Beagle,11.5,M,1,16.6,Nouvelle-Aquitaine,0,557.51
Bouledogue français,5.5,M,0,12.1,Occitanie,1,39.61
Bouledogue français,8.0,M,1,8.4,Autres,2,460.92
Beagle,8.2,F,1,13.8,Nouvelle-Aquitaine,0,515.43
Labrador,5.5,F,1,29.0,Auvergne-Rhône-Alpes,3,391.52
Golden Retriever,7.8,M,1,29.1,Hauts-de-France,0,362.21
Golden Retriever,1.7,F,1,32.3,Nouvelle-Aquitaine,1,38.95
Teckel,9.5,F,0,6.4,Occitanie,1,251.26
Beagle,4.8,M,0,13.3,Occitanie,2,129.7
Berger Allemand,9.4,F,0,21.6,Nouvelle-Aquitaine,2,636.79
Yorkshire,8.1,F,1,4.3,Hauts-de-France,1,169.43
Caniche,4.3,F,1,8.5,Hauts-de-France,1,168.3
Yorkshire,2.7,F,0,4.4,Nouvelle-Aquitaine,3,42.84
Chihuahua,14.4,M,1,2.7,Île-de-France,2,636.36
Berger Allemand,12.5,M,1,27.1,Occitanie,3,321.4
Yorkshire,10.4,M,0,4.7,Occitanie,0,283.92
Golden Retriever,11.2,F,1,37.8,Nouvelle-Aquitaine,1,274.92
Berger Allemand,8.5,F,1,38.2,Auvergne-Rhône-Alpes,1,1271.31
Golden Retriever,11.7,M,1,30.5,Autres,0,643.85
Bouledogue français,9.2,M,1,12.4,Nouvelle-Aquitaine,0,111.89
Croisé,6.1,F,1,20.6,Autres,1,344.87
Husky,12.3,M,1,27.3,Nouvelle-Aquitaine,5,475.46
Caniche,11.4,M,1,9.2,Hauts-de-France,1,291.38
Labrador,2.7,F,1,33.6,Occitanie,1,647.42
Yorkshire,8.9,M,1,4.8,Auvergne-Rhône-Alpes,3,237.51
Bouledogue français,3.5,F,1,9.8,Autres,0,229.5
Golden Retriever,8.1,F,1,36.0,Autres,4,774.81
Golden Retriever,11.0,F,0,25.2,Auvergne-Rhône-Alpes,1,64.97
Golden Retriever,3.1,M,0,40.6,Nouvelle-Aquitaine,0,414.18
Golden Retriever,8.6,F,1,29.0,Autres,2,681.87
Croisé,11.9,F,0,11.7,Nouvelle-Aquitaine,1,426.7
Bouledogue français,5.9,M,1,13.4,Occitanie,0,385.35
Caniche,9.7,F,0,10.5,Autres,3,59.07
Caniche,8.0,M,1,9.3,Occitanie,3,47.16
Berger Allemand,10.7,F,0,35.5,Auvergne-Rhône-Alpes,0,562.67
Croisé,2.4,M,1,19.7,Île-de-France,0,255.74
Croisé,11.9,F,0,23.5,Autres,1,275.42
Teckel,1.4,F,1,5.1,Hauts-de-France,2,273.01
Golden Retriever,2.4,F,1,34.3,Auvergne-Rhône-Alpes,1,565.45
Berger Allemand,10.0,F,0,37.4,Île-de-France,2,574.76
Golden Retriever,6.6,M,1,27.1,Île-de-France,2,382.8
Chihuahua,9.4,F,1,2.5,Île-de-France,2,165.82
Labrador,9.9,F,0,29.2,Autres,0,952.48
Yorkshire,13.1,F,0,4.2,Autres,1,80.19
Beagle,14.8,F,1,14.9,Auvergne-Rhône-Alpes,3,158.17
Rottweiler,6.3,M,1,41.4,Occitanie,0,270.41
Rottweiler,8.9,M,0,50.2,Île-de-France,1,630.43
Croisé,2.9,F,1,27.6,Occitanie,0,359.02
Croisé,12.4,M,1,21.0,Autres,3,198.52
Bouledogue français,2.9,F,1,14.1,Occitanie,2,992.72
Croisé,12.9,F,1,17.0,Autres,3,600.97
Labrador,13.3,F,0,27.3,Hauts-de-France,3,1163.94
Caniche,11.2,F,1,8.6,Occitanie,3,286.92
Rottweiler,10.0,M,1,45.9,Occitanie,1,1960.41
Berger Allemand,6.4,F,1,38.6,Nouvelle-Aquitaine,0,227.61
Labrador,13.7,M,0,29.4,Occitanie,3,177.43
Teckel,6.6,M,1,7.7,Autres,1,206.65
Husky,10.6,F,0,24.1,Autres,3,710.8
Golden Retriever,1.9,F,0,23.0,Île-de-France,1,259.06
Rottweiler,1.2,F,1,51.4,Auvergne-Rhône-Alpes,1,1525.72
Chihuahua,4.6,F,1,3.0,Autres,0,264.1
Labrador,7.6,M,0,25.0,Hauts-de-France,1,349.41
Berger Allemand,9.7,F,1,35.4,Occitanie,0,96.86
Labrador,10.0,F,0,30.2,Occitanie,1,1280.31
Chihuahua,1.1,F,0,2.9,Occitanie,0,13.29
Golden Retriever,3.5,M,1,37.2,Île-de-France,1,278.73
Rottweiler,6.3,M,0,42.8,Île-de-France,2,251.39
Labrador,7.0,M,0,36.7,Île-de-France,2,244.03
Chihuahua,12.4,M,1,3.1,Hauts-de-France,1,102.54
Golden Retriever,5.9,M,1,31.0,Nouvelle-Aquitaine,0,587.06
Bouledogue français,10.2,M,1,11.8,Occitanie,5,259.46
Caniche,12.5,F,0,10.5,Île-de-France,1,951.02
Berger Allemand,2.3,M,0,39.5,Île-de-France,2,1117.04
Yorkshire,8.4,F,1,3.7,Nouvelle-Aquitaine,3,48.15
Husky,5.9,F,1,33.9,Île-de-France,0,2458.05
Berger Allemand,13.4,M,1,35.3,Occitanie,2,421.73
Chihuahua,2.0,F,1,3.1,Auvergne-Rhône-Alpes,1,304.56
Bouledogue français,7.5,F,1,11.8,Occitanie,0,345.56
Teckel,2.8,F,0,5.8,Hauts-de-France,1,114.51
Berger Allemand,7.4,F,1,30.5,Nouvelle-Aquitaine,1,445.02
Caniche,8.4,M,1,12.4,Hauts-de-France,2,314.77
Labrador,3.1,M,0,32.9,Nouvelle-Aquitaine,1,219.57
Labrador,2.7,F,1,33.2,Occitanie,0,643.04
Beagle,9.5,M,1,16.0,Nouvelle-Aquitaine,1,483.5
Bouledogue français,11.0,M,1,12.6,Autres,0,173.44
Golden Retriever,7.3,F,1,32.1,Île-de-France,0,847.1
Caniche,9.0,F,1,11.0,Occitanie,2,132.86
Labrador,13.5,M,1,36.8,Occitanie,3,1468.42
Chihuahua,12.8,F,0,3.4,Autres,1,278.13
Husky,2.4,F,1,25.4,Nouvelle-Aquitaine,0,516.49
Labrador,15.0,F,1,32.3,Autres,1,682.01
Rottweiler,11.6,F,1,38.5,Île-de-France,1,1182.72
Beagle,2.1,F,1,15.9,Auvergne-Rhône-Alpes,0,413.94
Croisé,10.8,F,0,15.2,Auvergne-Rhône-Alpes,1,155.77
Beagle,6.4,M,0,15.4,Hauts-de-France,0,501.56
Labrador,5.7,M,1,33.1,Île-de-France,2,561.65
Bouledogue français,4.0,F,0,12.4,Hauts-de-France,1,498.87
Bouledogue français,6.3,M,0,13.0,Auvergne-Rhône-Alpes,0,380.05
Rottweiler,0.5,F,1,51.4,Auvergne-Rhône-Alpes,0,200.89
Rottweiler,5.4,F,1,46.2,Hauts-de-France,4,173.39
Beagle,14.5,M,0,16.7,Auvergne-Rhône-Alpes,2,343.44
Teckel,10.2,M,0,8.1,Occitanie,1,255.69
Croisé,15.0,M,0,19.8,Nouvelle-Aquitaine,1,674.78
Rottweiler,1.3,M,0,47.2,Hauts-de-France,0,570.8
Teckel,11.1,F,0,8.8,Hauts-de-France,1,199.27
Croisé,6.2,F,1,19.0,Île-de-France,0,455.09
Caniche,11.8,M,0,8.4,Hauts-de-France,4,388.57
Caniche,8.2,F,0,10.8,Hauts-de-France,2,238.17
Chihuahua,8.1,F,1,2.9,Autres,1,179.33
Chihuahua,11.2,M,0,3.8,Autres,5,522.21
Beagle,7.1,F,0,15.7,Occitanie,2,328.02
Golden Retriever,14.4,M,0,34.6,Nouvelle-Aquitaine,0,469.44
Teckel,11.0,M,0,7.4,Auvergne-Rhône-Alpes,4,409.54
Chihuahua,5.5,F,0,3.4,Autres,1,115.87
Berger Allemand,7.7,M,1,26.1,Autres,6,192.46
Labrador,2.9,M,1,28.1,Hauts-de-France,1,482.81
Beagle,10.8,F,1,14.0,Nouvelle-Aquitaine,1,52.22
Husky,0.7,F,1,33.7,Occitanie,3,146.59
Golden Retriever,4.1,M,1,33.1,Île-de-France,2,136.6
Berger Allemand,6.0,F,0,35.3,Occitanie,1,105.28
Labrador,13.5,M,0,30.0,Île-de-France,3,788.35
Labrador,14.3,M,0,26.9,Île-de-France,3,824.59
Golden Retriever,2.0,F,1,33.0,Île-de-France,0,358.1
Berger Allemand,10.9,F,1,39.9,Occitanie,1,353.67
Husky,13.4,M,1,28.5,Auvergne-Rhône-Alpes,1,854.08
Yorkshire,1.0,F,0,4.4,Nouvelle-Aquitaine,1,100.91
Golden Retriever,10.6,F,0,23.5,Nouvelle-Aquitaine,1,444.02
Rottweiler,0.5,M,0,40.1,Autres,1,146.24
Golden Retriever,14.5,F,1,35.2,Nouvelle-Aquitaine,1,640.82
Rottweiler,4.2,M,0,35.7,Autres,2,230.48
Yorkshire,8.4,F,0,4.3,Auvergne-Rhône-Alpes,1,484.65
Golden Retriever,14.3,M,1,39.0,Hauts-de-France,1,649.33
Beagle,2.8,M,1,14.4,Occitanie,0,254.39
Rottweiler,4.5,M,0,36.2,Île-de-France,4,142.35
Chihuahua,5.0,F,0,2.9,Nouvelle-Aquitaine,1,118.26
Bouledogue français,6.8,F,1,12.3,Hauts-de-France,1,483.33
Teckel,7.5,F,0,5.4,Autres,2,373.93
Yorkshire,5.1,F,1,3.9,Hauts-de-France,4,93.87
Chihuahua,8.5,F,0,3.6,Hauts-de-France,2,39.93
Teckel,5.7,F,1,7.4,Occitanie,0,192.6
Chihuahua,9.8,F,1,3.3,Autres,5,254.55
Husky,3.1,F,1,34.4,Nouvelle-Aquitaine,1,205.97
Croisé,1.6,M,0,22.2,Île-de-France,2,798.05
Teckel,1.6,F,0,8.2,Île-de-France,2,99.35
Labrador,5.9,M,1,33.9,Île-de-France,1,1305.13
Golden Retriever,14.2,F,1,31.0,Hauts-de-France,3,539.07
Golden Retriever,14.1,M,1,35.5,Île-de-France,2,258.61
Husky,0.6,F,0,29.3,Nouvelle-Aquitaine,1,358.16
Rottweiler,6.9,M,1,58.3,Île-de-France,1,939.18
Berger Allemand,13.2,F,1,31.3,Île-de-France,1,243.21
Labrador,3.6,M,1,23.3,Auvergne-Rhône-Alpes,1,104.28
Beagle,3.4,F,1,13.3,Occitanie,1,213.56
Rottweiler,5.3,F,0,42.2,Autres,3,941.42
Teckel,14.1,F,1,8.6,Autres,1,498.7
Teckel,7.6,F,0,7.4,Île-de-France,2,653.09
Berger Allemand,11.9,F,1,38.0,Occitanie,0,986.73
Golden Retriever,13.9,M,1,25.5,Île-de-France,5,130.37
Husky,4.4,F,1,26.0,Hauts-de-France,2,611.26
Labrador,6.5,M,1,19.6,Hauts-de-France,1,96.5
Chihuahua,11.2,M,1,2.7,Autres,2,298.61
Labrador,4.0,F,1,30.5,Occitanie,1,74.1
Caniche,4.4,F,0,10.4,Nouvelle-Aquitaine,2,183.03
Beagle,10.7,M,0,17.3,Auvergne-Rhône-Alpes,2,265.31
Yorkshire,2.6,F,1,4.5,Hauts-de-France,0,118.65
Berger Allemand,11.8,F,1,30.2,Île-de-France,3,1526.31
Rottweiler,8.3,M,1,44.6,Autres,2,1177.86
Bouledogue français,6.4,M,1,15.2,Hauts-de-France,0,83.53
Bouledogue français,1.5,F,1,13.2,Île-de-France,2,343.04
Caniche,6.8,F,1,8.4,Auvergne-Rhône-Alpes,0,99.63
Teckel,10.7,F,1,7.8,Nouvelle-Aquitaine,4,150.5
Bouledogue français,11.7,M,0,12.8,Nouvelle-Aquitaine,4,659.48
Croisé,11.3,M,1,16.7,Nouvelle-Aquitaine,2,216.8
Husky,8.9,F,1,35.6,Nouvelle-Aquitaine,1,386.98
Beagle,9.2,F,1,17.1,Nouvelle-Aquitaine,2,533.61
Yorkshire,10.1,F,1,3.3,Autres,3,295.76
Husky,4.5,M,1,27.3,Autres,4,675.87
Berger Allemand,4.3,F,1,37.3,Occitanie,2,818.04
Beagle,5.2,M,1,15.8,Hauts-de-France,0,285.39
Caniche,1.9,F,1,11.1,Hauts-de-France,2,297.72
Chihuahua,14.4,M,0,2.9,Occitanie,0,165.95
Caniche,0.7,F,1,10.6,Île-de-France,3,466.77
Labrador,6.9,F,0,32.2,Île-de-France,2,106.69
Teckel,7.3,M,1,7.9,Nouvelle-Aquitaine,5,446.86
Teckel,2.9,M,0,9.2,Occitanie,0,433.37
Yorkshire,9.2,M,0,5.2,Autres,2,112.44
Yorkshire,3.0,M,1,4.4,Autres,3,157.58
Bouledogue français,13.9,F,1,11.2,Nouvelle-Aquitaine,0,211.32
Chihuahua,9.3,F,0,2.5,Autres,4,237.1
Labrador,3.4,M,1,35.4,Île-de-France,0,397.14
Yorkshire,6.8,F,1,3.6,Auvergne-Rhône-Alpes,0,123.86
Golden Retriever,1.3,F,0,37.9,Nouvelle-Aquitaine,1,15.19
Croisé,4.5,F,0,18.5,Hauts-de-France,0,184.81
Golden Retriever,3.6,F,1,36.2,Auvergne-Rhône-Alpes,0,288.07
Bouledogue français,12.5,M,1,12.4,Autres,1,90.78
Croisé,7.6,M,1,16.4,Auvergne-Rhône-Alpes,5,20.13
Yorkshire,8.7,F,1,4.0,Nouvelle-Aquitaine,3,129.97
Rottweiler,13.0,F,0,47.9,Nouvelle-Aquitaine,6,19.08
Croisé,8.5,M,1,20.7,Occitanie,1,125.11
Caniche,12.5,F,1,10.1,Autres,1,301.49
Labrador,13.5,F,1,27.6,Hauts-de-France,2,578.28
Yorkshire,9.0,F,0,4.3,Auvergne-Rhône-Alpes,2,440.2
Chihuahua,4.8,F,1,3.1,Hauts-de-France,3,200.62
Yorkshire,7.6,F,1,4.7,Autres,1,126.85
Yorkshire,9.9,M,1,4.9,Île-de-France,0,194.95
Chihuahua,12.9,M,1,3.3,Île-de-France,1,352.19
Rottweiler,9.3,F,1,53.2,Nouvelle-Aquitaine,2,414.91
Husky,10.3,M,1,22.0,Autres,2,123.13
Labrador,5.5,M,0,32.3,Auvergne-Rhône-Alpes,0,420.25
Labrador,3.3,F,1,31.5,Hauts-de-France,0,502.09
Husky,7.1,F,1,24.6,Île-de-France,2,55.82
Croisé,4.3,F,1,21.9,Île-de-France,0,275.05
Beagle,9.1,F,0,15.2,Hauts-de-France,2,404.91
Berger Allemand,2.2,M,0,43.0,Occitanie,0,183.0
Bouledogue français,13.5,M,0,15.1,Île-de-France,6,134.31
Husky,4.8,F,1,27.8,Île-de-France,0,407.74
Croisé,11.1,F,1,17.0,Hauts-de-France,4,428.83
Berger Allemand,7.2,F,0,37.7,Autres,1,1229.7
Teckel,8.2,F,1,8.7,Hauts-de-France,3,214.79
Yorkshire,2.2,M,1,4.3,Autres,0,32.78
Caniche,13.5,M,1,11.0,Autres,2,239.53
Caniche,7.3,F,1,9.1,Occitanie,1,326.57
Chihuahua,4.5,F,1,3.2,Autres,1,388.92
Husky,6.4,F,1,22.0,Auvergne-Rhône-Alpes,3,120.32
Teckel,1.1,M,0,7.8,Occitanie,1,97.34
Bouledogue français,2.0,F,1,8.7,Autres,2,51.72
Croisé,13.7,F,1,18.8,Nouvelle-Aquitaine,2,142.44
Yorkshire,14.0,M,0,3.3,Hauts-de-France,3,93.12
Teckel,13.5,M,1,10.2,Autres,2,218.72
Beagle,8.4,M,0,18.6,Nouvelle-Aquitaine,2,451.1
Golden Retriever,3.9,M,0,36.0,Autres,2,901.61
Husky,0.9,F,0,21.8,Autres,1,72.58
Yorkshire,6.5,F,0,4.3,Île-de-France,3,114.72
Teckel,0.8,M,1,6.9,Île-de-France,0,114.96
Chihuahua,0.6,M,0,3.0,Auvergne-Rhône-Alpes,3,57.91
Caniche,8.4,M,1,12.1,Autres,1,80.61
Chihuahua,3.8,M,0,2.9,Auvergne-Rhône-Alpes,0,81.89
Husky,10.1,F,1,27.5,Hauts-de-France,2,1251.49
Berger Allemand,11.5,F,1,30.8,Île-de-France,2,143.29
Labrador,10.6,M,0,32.4,Autres,2,315.36
Caniche,13.2,M,1,8.6,Île-de-France,0,288.87
Teckel,5.7,F,0,9.1,Nouvelle-Aquitaine,1,537.88
Bouledogue français,6.8,F,1,12.0,Nouvelle-Aquitaine,1,694.98
Beagle,12.4,M,0,11.2,Auvergne-Rhône-Alpes,2,295.31
Berger Allemand,11.6,F,1,32.6,Nouvelle-Aquitaine,4,808.41
Caniche,2.6,F,0,9.8,Nouvelle-Aquitaine,2,233.57
Caniche,2.3,F,0,7.6,Île-de-France,0,581.76
Husky,1.7,F,1,30.9,Nouvelle-Aquitaine,2,682.84
Bouledogue français,1.2,F,1,12.0,Nouvelle-Aquitaine,0,997.55
Bouledogue français,2.3,F,1,12.2,Nouvelle-Aquitaine,4,171.8
